click,blueTopIndex,blueTopName,blueTopPlay,blueJungleIndex,blueJungleName,blueJunglePlay,blueMidIndex,blueMidName,blueMidPlay,blueBotIndex,blueBotName,blueBotPlay,blueSupportIndex,blueSupportName,blueSupportPlay,speaker_early_index,speaker_late_index,ChampFam,TVJearly,TVJlate,blue_excel_early,blue_excel_late,blue_excel_general,speaker_excel_early,speaker_excel_late,RT,language,age,gender,education,Browser,OS,screenH,screenW,year_started,league_level,hours_total,games_weekly,champfam_total,criteria_early,criteria_late,hierarch_early,hierarch_late,time_in_minutes,participant_id
18,29,Fiora,0.0322,22,Dr. Mundo,0.0087,98,Ryze,0.014,47,Jinx,0.0443,78,Nautilus,0.0694,1,0,4,0,1,0.3,0.6,0.45,0.55,,,English,21,Other,2,Chrome,Windows,864,1536,2014,Silver,"100-1,000",10-Jun,91-120,0.8,0.65,0.6,0.65,17.38901667,1
19,29,Fiora,0.0322,22,Dr. Mundo,0.0087,98,Ryze,0.014,47,Jinx,0.0443,78,Nautilus,0.0694,1,0,4,0,1,0.3,0.6,0.45,0.55,0.4,,English,21,Other,2,Chrome,Windows,864,1536,2014,Silver,"100-1,000",10-Jun,91-120,0.8,0.65,0.6,0.65,17.38901667,1
20,54,Kayle,0.0139,44,Jax,0.0221,21,Diana,0.0412,73,Miss Fortune,0.0964,66,Lulu,0.0534,0,1,5,,,,,,,,,English,21,Other,2,Chrome,Windows,864,1536,2014,Silver,"100-1,000",10-Jun,91-120,0.8,0.65,0.6,0.65,17.38901667,1
21,54,Kayle,0.0139,44,Jax,0.0221,21,Diana,0.0412,73,Miss Fortune,0.0964,66,Lulu,0.0534,0,1,5,1,1,,,,,,,English,21,Other,2,Chrome,Windows,864,1536,2014,Silver,"100-1,000",10-Jun,91-120,0.8,0.65,0.6,0.65,17.38901667,1
22,54,Kayle,0.0139,44,Jax,0.0221,21,Diana,0.0412,73,Miss Fortune,0.0964,66,Lulu,0.0534,0,1,5,1,1,0.65,0.75,0.65,,,,English,21,Other,2,Chrome,Windows,864,1536,2014,Silver,"100-1,000",10-Jun,91-120,0.8,0.65,0.6,0.65,17.38901667,1
23,54,Kayle,0.0139,44,Jax,0.0221,21,Diana,0.0412,73,Miss Fortune,0.0964,66,Lulu,0.0534,0,1,5,0,1,0.65,0.75,0.65,0.5,,,English,21,Other,2,Chrome,Windows,864,1536,2014,Silver,"100-1,000",10-Jun,91-120,0.8,0.65,0.6,0.65,17.38901667,1
24,54,Kayle,0.0139,44,Jax,0.0221,21,Diana,0.0412,73,Miss Fortune,0.0964,66,Lulu,0.0534,0,1,5,0,1,0.65,0.75,0.65,0.45,0.75,,English,21,Other,2,Chrome,Windows,864,1536,2014,Silver,"100-1,000",10-Jun,91-120,0.8,0.65,0.6,0.65,17.38901667,1
25,87,Poppy,0.0107,62,Lee Sin,0.1486,112,Sylas,0.0361,49,Kalista,0.0204,76,Nami,0.0652,0,1,5,,,,,,,,,English,21,Other,2,Chrome,Windows,864,1536,2014,Silver,"100-1,000",10-Jun,91-120,0.8,0.65,0.6,0.65,17.38901667,1
26,87,Poppy,0.0107,62,Lee Sin,0.1486,112,Sylas,0.0361,49,Kalista,0.0204,76,Nami,0.0652,0,1,5,1,0,,,,,,,English,21,Other,2,Chrome,Windows,864,1536,2014,Silver,"100-1,000",10-Jun,91-120,0.8,0.65,0.6,0.65,17.38901667,1
27,87,Poppy,0.0107,62,Lee Sin,0.1486,112,Sylas,0.0361,49,Kalista,0.0204,76,Nami,0.0652,0,1,5,1,0,0.65,0.4,0.55,,,,English,21,Other,2,Chrome,Windows,864,1536,2014,Silver,"100-1,000",10-Jun,91-120,0.8,0.65,0.6,0.65,17.38901667,1
28,87,Poppy,0.0107,62,Lee Sin,0.1486,112,Sylas,0.0361,49,Kalista,0.0204,76,Nami,0.0652,0,1,5,1,0,0.65,0.4,0.55,0.35,,,English,21,Other,2,Chrome,Windows,864,1536,2014,Silver,"100-1,000",10-Jun,91-120,0.8,0.65,0.6,0.65,17.38901667,1
29,87,Poppy,0.0107,62,Lee Sin,0.1486,112,Sylas,0.0361,49,Kalista,0.0204,76,Nami,0.0652,0,1,5,1,0,0.65,0.4,0.55,0.35,0.65,,English,21,Other,2,Chrome,Windows,864,1536,2014,Silver,"100-1,000",10-Jun,91-120,0.8,0.65,0.6,0.65,17.38901667,1
30,85,Ornn,0.0374,143,Zac,0.0667,61,LeBlanc,0.0332,7,Aphelios,0.0536,66,Lulu,0.0534,0,0,4,,,,,,,,,English,21,Other,2,Chrome,Windows,864,1536,2014,Silver,"100-1,000",10-Jun,91-120,0.8,0.65,0.6,0.65,17.38901667,1
31,85,Ornn,0.0374,143,Zac,0.0667,61,LeBlanc,0.0332,7,Aphelios,0.0536,66,Lulu,0.0534,0,0,4,1,1,,,,,,,English,21,Other,2,Chrome,Windows,864,1536,2014,Silver,"100-1,000",10-Jun,91-120,0.8,0.65,0.6,0.65,17.38901667,1
