click,blueTopIndex,blueTopName,blueTopPlay,blueJungleIndex,blueJungleName,blueJunglePlay,blueMidIndex,blueMidName,blueMidPlay,blueBotIndex,blueBotName,blueBotPlay,blueSupportIndex,blueSupportName,blueSupportPlay,speaker_early_index,speaker_late_index,ChampFam,TVJearly,TVJlate,blue_excel_early,blue_excel_late,blue_excel_general,speaker_excel_early,speaker_excel_late,RT,language,age,gender,education,Browser,OS,screenH,screenW,year_started,league_level,hours_total,games_weekly,champfam_total,criteria_early,criteria_late,hierarch_early,hierarch_late,time_in_minutes,participant_id
46,118,Teemo,0.0168,36,Graves,0.0375,61,LeBlanc,0.0332,73,Miss Fortune,0.0964,100,Senna,0.1068,1,1,5,1,0,,,,,,,English,19,Male,2,Chrome,Windows,1080,1920,2012,Gold,"100-1,000",20-Nov,121-150,0.75,0.65,0.55,0.65,25.63681667,4
47,118,Teemo,0.0168,36,Graves,0.0375,61,LeBlanc,0.0332,73,Miss Fortune,0.0964,100,Senna,0.1068,1,1,5,1,0,0.6,0.15,0.24,,,,English,19,Male,2,Chrome,Windows,1080,1920,2012,Gold,"100-1,000",20-Nov,121-150,0.75,0.65,0.55,0.65,25.63681667,4
48,118,Teemo,0.0168,36,Graves,0.0375,61,LeBlanc,0.0332,73,Miss Fortune,0.0964,100,Senna,0.1068,1,1,5,1,0,0.6,0.15,0.24,0.64,,,English,19,Male,2,Chrome,Windows,1080,1920,2012,Gold,"100-1,000",20-Nov,121-150,0.75,0.65,0.55,0.65,25.63681667,4
49,118,Teemo,0.0168,36,Graves,0.0375,61,LeBlanc,0.0332,73,Miss Fortune,0.0964,100,Senna,0.1068,1,1,5,1,0,0.6,0.15,0.24,0.64,0.54,,English,19,Male,2,Chrome,Windows,1080,1920,2012,Gold,"100-1,000",20-Nov,121-150,0.75,0.65,0.55,0.65,25.63681667,4
50,133,Vladimir,0.0201,92,Rammus,0.02,140,Yasuo,0.0507,46,Jhin,0.0642,130,Vel'Koz,0.0167,1,1,5,,,,,,,,,English,19,Male,2,Chrome,Windows,1080,1920,2012,Gold,"100-1,000",20-Nov,121-150,0.75,0.65,0.55,0.65,25.63681667,4
51,133,Vladimir,0.0201,92,Rammus,0.02,140,Yasuo,0.0507,46,Jhin,0.0642,130,Vel'Koz,0.0167,1,1,5,1,1,,,,,,,English,19,Male,2,Chrome,Windows,1080,1920,2012,Gold,"100-1,000",20-Nov,121-150,0.75,0.65,0.55,0.65,25.63681667,4
52,133,Vladimir,0.0201,92,Rammus,0.02,140,Yasuo,0.0507,46,Jhin,0.0642,130,Vel'Koz,0.0167,1,1,5,1,1,0.65,0.74,0.57,,,,English,19,Male,2,Chrome,Windows,1080,1920,2012,Gold,"100-1,000",20-Nov,121-150,0.75,0.65,0.55,0.65,25.63681667,4
53,133,Vladimir,0.0201,92,Rammus,0.02,140,Yasuo,0.0507,46,Jhin,0.0642,130,Vel'Koz,0.0167,1,1,5,1,1,0.65,0.74,0.57,0.76,,,English,19,Male,2,Chrome,Windows,1080,1920,2012,Gold,"100-1,000",20-Nov,121-150,0.75,0.65,0.55,0.65,25.63681667,4
54,133,Vladimir,0.0201,92,Rammus,0.02,140,Yasuo,0.0507,46,Jhin,0.0642,130,Vel'Koz,0.0167,1,1,5,1,1,0.65,0.74,0.57,0.69,0.67,,English,19,Male,2,Chrome,Windows,1080,1920,2012,Gold,"100-1,000",20-Nov,121-150,0.75,0.65,0.55,0.65,25.63681667,4
55,16,Camille,0.0162,62,Lee Sin,0.1486,86,Pantheon,0.0121,65,Lucian,0.0694,11,Bard,0.0368,0,0,5,,,,,,,,,English,19,Male,2,Chrome,Windows,1080,1920,2012,Gold,"100-1,000",20-Nov,121-150,0.75,0.65,0.55,0.65,25.63681667,4
56,16,Camille,0.0162,62,Lee Sin,0.1486,86,Pantheon,0.0121,65,Lucian,0.0694,11,Bard,0.0368,0,0,5,1,0,,,,,,,English,19,Male,2,Chrome,Windows,1080,1920,2012,Gold,"100-1,000",20-Nov,121-150,0.75,0.65,0.55,0.65,25.63681667,4
57,16,Camille,0.0162,62,Lee Sin,0.1486,86,Pantheon,0.0121,65,Lucian,0.0694,11,Bard,0.0368,0,0,5,1,0,0.76,0.09,0.27,,,,English,19,Male,2,Chrome,Windows,1080,1920,2012,Gold,"100-1,000",20-Nov,121-150,0.75,0.65,0.55,0.65,25.63681667,4
58,16,Camille,0.0162,62,Lee Sin,0.1486,86,Pantheon,0.0121,65,Lucian,0.0694,11,Bard,0.0368,0,0,5,1,0,0.76,0.09,0.27,0.33,,,English,19,Male,2,Chrome,Windows,1080,1920,2012,Gold,"100-1,000",20-Nov,121-150,0.75,0.65,0.55,0.65,25.63681667,4
59,16,Camille,0.0162,62,Lee Sin,0.1486,86,Pantheon,0.0121,65,Lucian,0.0694,11,Bard,0.0368,0,0,5,1,0,0.76,0.09,0.27,0.33,0.02,,English,19,Male,2,Chrome,Windows,1080,1920,2012,Gold,"100-1,000",20-Nov,121-150,0.75,0.65,0.55,0.65,25.63681667,4
0,29,Fiora,0.0322,22,Dr. Mundo,0.0087,98,Ryze,0.014,47,Jinx,0.0443,78,Nautilus,0.0694,1,1,3,,,,,,,,,English,19,Female,2,Chrome,Mac,900,1440,2018,Silver,10-100,2-Jan,31-60,0.6,0.55,0.5,0.5,38.5307,5
1,29,Fiora,0.0322,22,Dr. Mundo,0.0087,98,Ryze,0.014,47,Jinx,0.0443,78,Nautilus,0.0694,1,1,3,0,1,,,,,,,English,19,Female,2,Chrome,Mac,900,1440,2018,Silver,10-100,2-Jan,31-60,0.6,0.55,0.5,0.5,38.5307,5
2,29,Fiora,0.0322,22,Dr. Mundo,0.0087,98,Ryze,0.014,47,Jinx,0.0443,78,Nautilus,0.0694,1,1,3,0,1,0.2,0.55,0.6,,,,English,19,Female,2,Chrome,Mac,900,1440,2018,Silver,10-100,2-Jan,31-60,0.6,0.55,0.5,0.5,38.5307,5
3,29,Fiora,0.0322,22,Dr. Mundo,0.0087,98,Ryze,0.014,47,Jinx,0.0443,78,Nautilus,0.0694,1,1,3,0,1,0.2,0.55,0.6,0.55,,,English,19,Female,2,Chrome,Mac,900,1440,2018,Silver,10-100,2-Jan,31-60,0.6,0.55,0.5,0.5,38.5307,5
4,29,Fiora,0.0322,22,Dr. Mundo,0.0087,98,Ryze,0.014,47,Jinx,0.0443,78,Nautilus,0.0694,1,1,3,0,1,0.2,0.55,0.6,0.55,0.55,,English,19,Female,2,Chrome,Mac,900,1440,2018,Silver,10-100,2-Jan,31-60,0.6,0.55,0.5,0.5,38.5307,5
5,59,Kled,0.0147,83,Olaf,0.0411,89,Qiyana,0.0188,46,Jhin,0.0642,142,Yuumi,0.0784,1,1,4,,,,,,,,,English,19,Female,2,Chrome,Mac,900,1440,2018,Silver,10-100,2-Jan,31-60,0.6,0.55,0.5,0.5,38.5307,5
6,59,Kled,0.0147,83,Olaf,0.0411,89,Qiyana,0.0188,46,Jhin,0.0642,142,Yuumi,0.0784,1,1,4,1,0,,,,,,,English,19,Female,2,Chrome,Mac,900,1440,2018,Silver,10-100,2-Jan,31-60,0.6,0.55,0.5,0.5,38.5307,5
7,59,Kled,0.0147,83,Olaf,0.0411,89,Qiyana,0.0188,46,Jhin,0.0642,142,Yuumi,0.0784,1,1,4,1,0,0.65,0.6,0.7,,,,English,19,Female,2,Chrome,Mac,900,1440,2018,Silver,10-100,2-Jan,31-60,0.6,0.55,0.5,0.5,38.5307,5
8,59,Kled,0.0147,83,Olaf,0.0411,89,Qiyana,0.0188,46,Jhin,0.0642,142,Yuumi,0.0784,1,1,4,1,0,0.65,0.6,0.7,0.6,,,English,19,Female,2,Chrome,Mac,900,1440,2018,Silver,10-100,2-Jan,31-60,0.6,0.55,0.5,0.5,38.5307,5
9,59,Kled,0.0147,83,Olaf,0.0411,89,Qiyana,0.0188,46,Jhin,0.0642,142,Yuumi,0.0784,1,1,4,1,0,0.65,0.6,0.7,0.6,0.58,,English,19,Female,2,Chrome,Mac,900,1440,2018,Silver,10-100,2-Jan,31-60,0.6,0.55,0.5,0.5,38.5307,5
10,133,Vladimir,0.0201,92,Rammus,0.02,140,Yasuo,0.0507,46,Jhin,0.0642,130,Vel'Koz,0.0167,1,0,3,,,,,,,,,English,19,Female,2,Chrome,Mac,900,1440,2018,Silver,10-100,2-Jan,31-60,0.6,0.55,0.5,0.5,38.5307,5
11,133,Vladimir,0.0201,92,Rammus,0.02,140,Yasuo,0.0507,46,Jhin,0.0642,130,Vel'Koz,0.0167,1,0,3,1,0,,,,,,,English,19,Female,2,Chrome,Mac,900,1440,2018,Silver,10-100,2-Jan,31-60,0.6,0.55,0.5,0.5,38.5307,5
12,133,Vladimir,0.0201,92,Rammus,0.02,140,Yasuo,0.0507,46,Jhin,0.0642,130,Vel'Koz,0.0167,1,0,3,1,0,0.8,0.65,0.75,,,,English,19,Female,2,Chrome,Mac,900,1440,2018,Silver,10-100,2-Jan,31-60,0.6,0.55,0.5,0.5,38.5307,5
13,133,Vladimir,0.0201,92,Rammus,0.02,140,Yasuo,0.0507,46,Jhin,0.0642,130,Vel'Koz,0.0167,1,0,3,1,0,0.8,0.65,0.75,0.7,,,English,19,Female,2,Chrome,Mac,900,1440,2018,Silver,10-100,2-Jan,31-60,0.6,0.55,0.5,0.5,38.5307,5
14,133,Vladimir,0.0201,92,Rammus,0.02,140,Yasuo,0.0507,46,Jhin,0.0642,130,Vel'Koz,0.0167,1,0,3,1,0,0.8,0.65,0.75,0.7,0.65,,English,19,Female,2,Chrome,Mac,900,1440,2018,Silver,10-100,2-Jan,31-60,0.6,0.55,0.5,0.5,38.5307,5
15,87,Poppy,0.0107,62,Lee Sin,0.1486,112,Sylas,0.0361,49,Kalista,0.0204,76,Nami,0.0652,0,1,4,,,,,,,,,English,19,Female,2,Chrome,Mac,900,1440,2018,Silver,10-100,2-Jan,31-60,0.6,0.55,0.5,0.5,38.5307,5
16,87,Poppy,0.0107,62,Lee Sin,0.1486,112,Sylas,0.0361,49,Kalista,0.0204,76,Nami,0.0652,0,1,4,1,0,,,,,,,English,19,Female,2,Chrome,Mac,900,1440,2018,Silver,10-100,2-Jan,31-60,0.6,0.55,0.5,0.5,38.5307,5
17,87,Poppy,0.0107,62,Lee Sin,0.1486,112,Sylas,0.0361,49,Kalista,0.0204,76,Nami,0.0652,0,1,4,1,0,0.6,0.55,0.65,,,,English,19,Female,2,Chrome,Mac,900,1440,2018,Silver,10-100,2-Jan,31-60,0.6,0.55,0.5,0.5,38.5307,5
18,87,Poppy,0.0107,62,Lee Sin,0.1486,112,Sylas,0.0361,49,Kalista,0.0204,76,Nami,0.0652,0,1,4,1,0,0.6,0.55,0.65,0.72,,,English,19,Female,2,Chrome,Mac,900,1440,2018,Silver,10-100,2-Jan,31-60,0.6,0.55,0.5,0.5,38.5307,5
19,87,Poppy,0.0107,62,Lee Sin,0.1486,112,Sylas,0.0361,49,Kalista,0.0204,76,Nami,0.0652,0,1,4,1,0,0.6,0.55,0.65,0.72,0.51,,English,19,Female,2,Chrome,Mac,900,1440,2018,Silver,10-100,2-Jan,31-60,0.6,0.55,0.5,0.5,38.5307,5
20,33,Garen,0.0603,71,Master Yi,0.0537,130,Vel'Koz,0.0133,46,Jhin,0.0642,76,Nami,0.0652,1,0,4,,,,,,,,,English,19,Female,2,Chrome,Mac,900,1440,2018,Silver,10-100,2-Jan,31-60,0.6,0.55,0.5,0.5,38.5307,5
21,33,Garen,0.0603,71,Master Yi,0.0537,130,Vel'Koz,0.0133,46,Jhin,0.0642,76,Nami,0.0652,1,0,4,1,1,,,,,,,English,19,Female,2,Chrome,Mac,900,1440,2018,Silver,10-100,2-Jan,31-60,0.6,0.55,0.5,0.5,38.5307,5
22,33,Garen,0.0603,71,Master Yi,0.0537,130,Vel'Koz,0.0133,46,Jhin,0.0642,76,Nami,0.0652,1,0,4,1,1,0.7,0.65,0.72,,,,English,19,Female,2,Chrome,Mac,900,1440,2018,Silver,10-100,2-Jan,31-60,0.6,0.55,0.5,0.5,38.5307,5
23,33,Garen,0.0603,71,Master Yi,0.0537,130,Vel'Koz,0.0133,46,Jhin,0.0642,76,Nami,0.0652,1,0,4,1,1,0.7,0.65,0.72,0.6,,,English,19,Female,2,Chrome,Mac,900,1440,2018,Silver,10-100,2-Jan,31-60,0.6,0.55,0.5,0.5,38.5307,5
24,33,Garen,0.0603,71,Master Yi,0.0537,130,Vel'Koz,0.0133,46,Jhin,0.0642,76,Nami,0.0652,1,0,4,1,1,0.7,0.65,0.72,0.6,0.65,,English,19,Female,2,Chrome,Mac,900,1440,2018,Silver,10-100,2-Jan,31-60,0.6,0.55,0.5,0.5,38.5307,5
25,118,Teemo,0.0168,36,Graves,0.0375,61,LeBlanc,0.0332,73,Miss Fortune,0.0964,100,Senna,0.1068,1,0,4,,,,,,,,,English,19,Female,2,Chrome,Mac,900,1440,2018,Silver,10-100,2-Jan,31-60,0.6,0.55,0.5,0.5,38.5307,5
26,118,Teemo,0.0168,36,Graves,0.0375,61,LeBlanc,0.0332,73,Miss Fortune,0.0964,100,Senna,0.1068,1,0,4,1,1,,,,,,,English,19,Female,2,Chrome,Mac,900,1440,2018,Silver,10-100,2-Jan,31-60,0.6,0.55,0.5,0.5,38.5307,5
27,118,Teemo,0.0168,36,Graves,0.0375,61,LeBlanc,0.0332,73,Miss Fortune,0.0964,100,Senna,0.1068,1,0,4,0,0,0.49,0.52,0.5,,,,English,19,Female,2,Chrome,Mac,900,1440,2018,Silver,10-100,2-Jan,31-60,0.6,0.55,0.5,0.5,38.5307,5
28,118,Teemo,0.0168,36,Graves,0.0375,61,LeBlanc,0.0332,73,Miss Fortune,0.0964,100,Senna,0.1068,1,0,4,0,0,0.49,0.52,0.5,0.55,,,English,19,Female,2,Chrome,Mac,900,1440,2018,Silver,10-100,2-Jan,31-60,0.6,0.55,0.5,0.5,38.5307,5
29,118,Teemo,0.0168,36,Graves,0.0375,61,LeBlanc,0.0332,73,Miss Fortune,0.0964,100,Senna,0.1068,1,0,4,0,0,0.49,0.52,0.5,0.55,0.55,,English,19,Female,2,Chrome,Mac,900,1440,2018,Silver,10-100,2-Jan,31-60,0.6,0.55,0.5,0.5,38.5307,5
30,54,Kayle,0.0139,44,Jax,0.0221,21,Diana,0.0412,73,Miss Fortune,0.0964,66,Lulu,0.0534,0,0,4,,,,,,,,,English,19,Female,2,Chrome,Mac,900,1440,2018,Silver,10-100,2-Jan,31-60,0.6,0.55,0.5,0.5,38.5307,5
31,54,Kayle,0.0139,44,Jax,0.0221,21,Diana,0.0412,73,Miss Fortune,0.0964,66,Lulu,0.0534,0,0,4,0,1,,,,,,,English,19,Female,2,Chrome,Mac,900,1440,2018,Silver,10-100,2-Jan,31-60,0.6,0.55,0.5,0.5,38.5307,5
32,54,Kayle,0.0139,44,Jax,0.0221,21,Diana,0.0412,73,Miss Fortune,0.0964,66,Lulu,0.0534,0,0,4,0,1,0.55,0.5,0.53,,,,English,19,Female,2,Chrome,Mac,900,1440,2018,Silver,10-100,2-Jan,31-60,0.6,0.55,0.5,0.5,38.5307,5
33,54,Kayle,0.0139,44,Jax,0.0221,21,Diana,0.0412,73,Miss Fortune,0.0964,66,Lulu,0.0534,0,0,4,0,1,0.55,0.5,0.53,0.43,,,English,19,Female,2,Chrome,Mac,900,1440,2018,Silver,10-100,2-Jan,31-60,0.6,0.55,0.5,0.5,38.5307,5
34,54,Kayle,0.0139,44,Jax,0.0221,21,Diana,0.0412,73,Miss Fortune,0.0964,66,Lulu,0.0534,0,0,4,0,1,0.55,0.61,0.56,0.43,0.47,,English,19,Female,2,Chrome,Mac,900,1440,2018,Silver,10-100,2-Jan,31-60,0.6,0.55,0.5,0.5,38.5307,5
35,85,Ornn,0.0374,25,Elise,0.06,81,Nocturne,0.0055,65,Lucian,0.0694,11,Bard,0.0368,0,1,3,,,,,,,,,English,19,Female,2,Chrome,Mac,900,1440,2018,Silver,10-100,2-Jan,31-60,0.6,0.55,0.5,0.5,38.5307,5
36,85,Ornn,0.0374,25,Elise,0.06,81,Nocturne,0.0055,65,Lucian,0.0694,11,Bard,0.0368,0,1,3,0,1,,,,,,,English,19,Female,2,Chrome,Mac,900,1440,2018,Silver,10-100,2-Jan,31-60,0.6,0.55,0.5,0.5,38.5307,5
37,85,Ornn,0.0374,25,Elise,0.06,81,Nocturne,0.0055,65,Lucian,0.0694,11,Bard,0.0368,0,1,3,0,1,0.55,0.7,0.63,,,,English,19,Female,2,Chrome,Mac,900,1440,2018,Silver,10-100,2-Jan,31-60,0.6,0.55,0.5,0.5,38.5307,5
38,85,Ornn,0.0374,25,Elise,0.06,81,Nocturne,0.0055,65,Lucian,0.0694,11,Bard,0.0368,0,1,3,0,1,0.55,0.7,0.63,0.4,,,English,19,Female,2,Chrome,Mac,900,1440,2018,Silver,10-100,2-Jan,31-60,0.6,0.55,0.5,0.5,38.5307,5
39,85,Ornn,0.0374,25,Elise,0.06,81,Nocturne,0.0055,65,Lucian,0.0694,11,Bard,0.0368,0,1,3,0,1,0.55,0.7,0.63,0.4,0.6,,English,19,Female,2,Chrome,Mac,900,1440,2018,Silver,10-100,2-Jan,31-60,0.6,0.55,0.5,0.5,38.5307,5
40,40,Irelia,0.0226,62,Lee Sin,0.1486,24,Ekko,0.0238,15,Caitlyn,0.0932,12,Blitzcrank,0.0593,0,0,3,,,,,,,,,English,19,Female,2,Chrome,Mac,900,1440,2018,Silver,10-100,2-Jan,31-60,0.6,0.55,0.5,0.5,38.5307,5
41,40,Irelia,0.0226,62,Lee Sin,0.1486,24,Ekko,0.0238,15,Caitlyn,0.0932,12,Blitzcrank,0.0593,0,0,3,1,1,,,,,,,English,19,Female,2,Chrome,Mac,900,1440,2018,Silver,10-100,2-Jan,31-60,0.6,0.55,0.5,0.5,38.5307,5
42,40,Irelia,0.0226,62,Lee Sin,0.1486,24,Ekko,0.0238,15,Caitlyn,0.0932,12,Blitzcrank,0.0593,0,0,3,1,1,0.56,0.56,0.56,,,,English,19,Female,2,Chrome,Mac,900,1440,2018,Silver,10-100,2-Jan,31-60,0.6,0.55,0.5,0.5,38.5307,5
43,40,Irelia,0.0226,62,Lee Sin,0.1486,24,Ekko,0.0238,15,Caitlyn,0.0932,12,Blitzcrank,0.0593,0,0,3,0,0,0.53,0.45,0.51,0.42,,,English,19,Female,2,Chrome,Mac,900,1440,2018,Silver,10-100,2-Jan,31-60,0.6,0.55,0.5,0.5,38.5307,5
44,40,Irelia,0.0226,62,Lee Sin,0.1486,24,Ekko,0.0238,15,Caitlyn,0.0932,12,Blitzcrank,0.0593,0,0,3,0,0,0.53,0.45,0.51,0.46,0.46,,English,19,Female,2,Chrome,Mac,900,1440,2018,Silver,10-100,2-Jan,31-60,0.6,0.55,0.5,0.5,38.5307,5
45,85,Ornn,0.0374,143,Zac,0.0667,61,LeBlanc,0.0332,7,Aphelios,0.0536,66,Lulu,0.0534,0,0,1,,,,,,,,,English,19,Female,2,Chrome,Mac,900,1440,2018,Silver,10-100,2-Jan,31-60,0.6,0.55,0.5,0.5,38.5307,5
46,85,Ornn,0.0374,143,Zac,0.0667,61,LeBlanc,0.0332,7,Aphelios,0.0536,66,Lulu,0.0534,0,0,1,1,0,,,,,,,English,19,Female,2,Chrome,Mac,900,1440,2018,Silver,10-100,2-Jan,31-60,0.6,0.55,0.5,0.5,38.5307,5
47,85,Ornn,0.0374,143,Zac,0.0667,61,LeBlanc,0.0332,7,Aphelios,0.0536,66,Lulu,0.0534,0,0,1,1,0,0.65,0.47,0.55,,,,English,19,Female,2,Chrome,Mac,900,1440,2018,Silver,10-100,2-Jan,31-60,0.6,0.55,0.5,0.5,38.5307,5
48,85,Ornn,0.0374,143,Zac,0.0667,61,LeBlanc,0.0332,7,Aphelios,0.0536,66,Lulu,0.0534,0,0,1,1,0,0.65,0.47,0.55,0.44,,,English,19,Female,2,Chrome,Mac,900,1440,2018,Silver,10-100,2-Jan,31-60,0.6,0.55,0.5,0.5,38.5307,5
49,85,Ornn,0.0374,143,Zac,0.0667,61,LeBlanc,0.0332,7,Aphelios,0.0536,66,Lulu,0.0534,0,0,1,1,0,0.65,0.47,0.55,0.44,0.47,,English,19,Female,2,Chrome,Mac,900,1440,2018,Silver,10-100,2-Jan,31-60,0.6,0.55,0.5,0.5,38.5307,5
50,68,Malphite,0.0223,36,Graves,0.0375,84,Orianna,0.0217,124,Twitch,0.012,11,Bard,0.0368,1,1,3,,,,,,,,,English,19,Female,2,Chrome,Mac,900,1440,2018,Silver,10-100,2-Jan,31-60,0.6,0.55,0.5,0.5,38.5307,5
51,68,Malphite,0.0223,36,Graves,0.0375,84,Orianna,0.0217,124,Twitch,0.012,11,Bard,0.0368,1,1,3,1,1,,,,,,,English,19,Female,2,Chrome,Mac,900,1440,2018,Silver,10-100,2-Jan,31-60,0.6,0.55,0.5,0.5,38.5307,5
52,68,Malphite,0.0223,36,Graves,0.0375,84,Orianna,0.0217,124,Twitch,0.012,11,Bard,0.0368,1,1,3,1,1,0.67,0.63,0.66,,,,English,19,Female,2,Chrome,Mac,900,1440,2018,Silver,10-100,2-Jan,31-60,0.6,0.55,0.5,0.5,38.5307,5
53,68,Malphite,0.0223,36,Graves,0.0375,84,Orianna,0.0217,124,Twitch,0.012,11,Bard,0.0368,1,1,3,1,1,0.67,0.63,0.66,0.6,,,English,19,Female,2,Chrome,Mac,900,1440,2018,Silver,10-100,2-Jan,31-60,0.6,0.55,0.5,0.5,38.5307,5
54,68,Malphite,0.0223,36,Graves,0.0375,84,Orianna,0.0217,124,Twitch,0.012,11,Bard,0.0368,1,1,3,1,1,0.67,0.63,0.66,0.6,0.65,,English,19,Female,2,Chrome,Mac,900,1440,2018,Silver,10-100,2-Jan,31-60,0.6,0.55,0.5,0.5,38.5307,5
55,16,Camille,0.0162,62,Lee Sin,0.1486,86,Pantheon,0.0121,65,Lucian,0.0694,11,Bard,0.0368,0,1,4,,,,,,,,,English,19,Female,2,Chrome,Mac,900,1440,2018,Silver,10-100,2-Jan,31-60,0.6,0.55,0.5,0.5,38.5307,5
56,16,Camille,0.0162,62,Lee Sin,0.1486,86,Pantheon,0.0121,65,Lucian,0.0694,11,Bard,0.0368,0,1,4,1,1,,,,,,,English,19,Female,2,Chrome,Mac,900,1440,2018,Silver,10-100,2-Jan,31-60,0.6,0.55,0.5,0.5,38.5307,5
57,16,Camille,0.0162,62,Lee Sin,0.1486,86,Pantheon,0.0121,65,Lucian,0.0694,11,Bard,0.0368,0,1,4,1,1,0.7,0.65,0.67,,,,English,19,Female,2,Chrome,Mac,900,1440,2018,Silver,10-100,2-Jan,31-60,0.6,0.55,0.5,0.5,38.5307,5
58,16,Camille,0.0162,62,Lee Sin,0.1486,86,Pantheon,0.0121,65,Lucian,0.0694,11,Bard,0.0368,0,1,4,1,1,0.7,0.65,0.67,0.47,,,English,19,Female,2,Chrome,Mac,900,1440,2018,Silver,10-100,2-Jan,31-60,0.6,0.55,0.5,0.5,38.5307,5
59,16,Camille,0.0162,62,Lee Sin,0.1486,86,Pantheon,0.0121,65,Lucian,0.0694,11,Bard,0.0368,0,1,4,1,1,0.7,0.65,0.67,0.47,0.7,,English,19,Female,2,Chrome,Mac,900,1440,2018,Silver,10-100,2-Jan,31-60,0.6,0.55,0.5,0.5,38.5307,5
0,59,Kled,0.0147,83,Olaf,0.0411,89,Qiyana,0.0188,46,Jhin,0.0642,142,Yuumi,0.0784,0,0,4,,,,,,,,,English,21,Female,2,Chrome,Windows,1080,1920,2016,Platinum,"1,000-10,000",5-Mar,91-120,0.15,0.15,0.55,0.35,21.04953333,6
1,59,Kled,0.0147,83,Olaf,0.0411,89,Qiyana,0.0188,46,Jhin,0.0642,142,Yuumi,0.0784,0,0,4,0,0,,,,,,,English,21,Female,2,Chrome,Windows,1080,1920,2016,Platinum,"1,000-10,000",5-Mar,91-120,0.15,0.15,0.55,0.35,21.04953333,6
2,59,Kled,0.0147,83,Olaf,0.0411,89,Qiyana,0.0188,46,Jhin,0.0642,142,Yuumi,0.0784,0,0,4,0,0,0.6,0,0.35,,,,English,21,Female,2,Chrome,Windows,1080,1920,2016,Platinum,"1,000-10,000",5-Mar,91-120,0.15,0.15,0.55,0.35,21.04953333,6
3,59,Kled,0.0147,83,Olaf,0.0411,89,Qiyana,0.0188,46,Jhin,0.0642,142,Yuumi,0.0784,0,0,4,0,0,0.6,0,0.35,0.35,,,English,21,Female,2,Chrome,Windows,1080,1920,2016,Platinum,"1,000-10,000",5-Mar,91-120,0.15,0.15,0.55,0.35,21.04953333,6
4,59,Kled,0.0147,83,Olaf,0.0411,89,Qiyana,0.0188,46,Jhin,0.0642,142,Yuumi,0.0784,0,0,4,0,0,0.6,0,0.35,0.35,0.15,159.956,English,21,Female,2,Chrome,Windows,1080,1920,2016,Platinum,"1,000-10,000",5-Mar,91-120,0.15,0.15,0.55,0.35,21.04953333,6
5,40,Irelia,0.0226,62,Lee Sin,0.1486,24,Ekko,0.0238,15,Caitlyn,0.0932,12,Blitzcrank,0.0593,1,1,4,,,,,,,,159.956,English,21,Female,2,Chrome,Windows,1080,1920,2016,Platinum,"1,000-10,000",5-Mar,91-120,0.15,0.15,0.55,0.35,21.04953333,6
6,40,Irelia,0.0226,62,Lee Sin,0.1486,24,Ekko,0.0238,15,Caitlyn,0.0932,12,Blitzcrank,0.0593,1,1,4,1,0,,,,,,159.956,English,21,Female,2,Chrome,Windows,1080,1920,2016,Platinum,"1,000-10,000",5-Mar,91-120,0.15,0.15,0.55,0.35,21.04953333,6
7,40,Irelia,0.0226,62,Lee Sin,0.1486,24,Ekko,0.0238,15,Caitlyn,0.0932,12,Blitzcrank,0.0593,1,1,4,1,0,0.55,0.1,0.5,,,159.956,English,21,Female,2,Chrome,Windows,1080,1920,2016,Platinum,"1,000-10,000",5-Mar,91-120,0.15,0.15,0.55,0.35,21.04953333,6
8,40,Irelia,0.0226,62,Lee Sin,0.1486,24,Ekko,0.0238,15,Caitlyn,0.0932,12,Blitzcrank,0.0593,1,1,4,1,0,0.55,0.15,0.45,0.65,,159.956,English,21,Female,2,Chrome,Windows,1080,1920,2016,Platinum,"1,000-10,000",5-Mar,91-120,0.15,0.15,0.55,0.35,21.04953333,6
9,40,Irelia,0.0226,62,Lee Sin,0.1486,24,Ekko,0.0238,15,Caitlyn,0.0932,12,Blitzcrank,0.0593,1,1,4,1,0,0.55,0.15,0.45,0.65,0.55,104.458,English,21,Female,2,Chrome,Windows,1080,1920,2016,Platinum,"1,000-10,000",5-Mar,91-120,0.15,0.15,0.55,0.35,21.04953333,6
10,33,Garen,0.0603,71,Master Yi,0.0537,130,Vel'Koz,0.0133,46,Jhin,0.0642,76,Nami,0.0652,0,1,3,,,,,,,,104.458,English,21,Female,2,Chrome,Windows,1080,1920,2016,Platinum,"1,000-10,000",5-Mar,91-120,0.15,0.15,0.55,0.35,21.04953333,6
11,33,Garen,0.0603,71,Master Yi,0.0537,130,Vel'Koz,0.0133,46,Jhin,0.0642,76,Nami,0.0652,0,1,3,0,0,,,,,,104.458,English,21,Female,2,Chrome,Windows,1080,1920,2016,Platinum,"1,000-10,000",5-Mar,91-120,0.15,0.15,0.55,0.35,21.04953333,6
12,33,Garen,0.0603,71,Master Yi,0.0537,130,Vel'Koz,0.0133,46,Jhin,0.0642,76,Nami,0.0652,0,1,3,0,0,0.4,0.28,0.3,,,104.458,English,21,Female,2,Chrome,Windows,1080,1920,2016,Platinum,"1,000-10,000",5-Mar,91-120,0.15,0.15,0.55,0.35,21.04953333,6
