,Matchup0_blueIndex,Matchup0_redIndex,Matchup0_Ref,Matchup0_Extreme,Matchup1_blueIndex,Matchup1_redIndex,Matchup1_Ref,Matchup1_Extreme,Matchup2_blueIndex,Matchup2_redIndex,Matchup2_Ref,Matchup2_Extreme,Matchup3_blueIndex,Matchup3_redIndex,Matchup3_Ref,Matchup3_Extreme,Matchup4_blueIndex,Matchup4_redIndex,Matchup4_Ref,Matchup4_Extreme,Matchup5_blueIndex,Matchup5_redIndex,Matchup5_Ref,Matchup5_Extreme,Matchup6_blueIndex,Matchup6_redIndex,Matchup6_Ref,Matchup6_Extreme,Matchup7_blueIndex,Matchup7_redIndex,Matchup7_Ref,Matchup7_Extreme,Matchup8_blueIndex,Matchup8_redIndex,Matchup8_Ref,Matchup8_Extreme,Matchup9_blueIndex,Matchup9_redIndex,Matchup9_Ref,Matchup9_Extreme,Matchup10_blueIndex,Matchup10_redIndex,Matchup10_Ref,Matchup10_Extreme,Matchup11_blueIndex,Matchup11_redIndex,Matchup11_Ref,Matchup11_Extreme,TVJ0_Matchup0,TVJ0_Matchup1,TVJ0_Matchup2,TVJ0_Matchup3,TVJ0_Matchup4,TVJ0_Matchup5,TVJ0_Matchup6,TVJ0_Matchup7,TVJ0_Matchup8,TVJ0_Matchup9,TVJ0_Matchup10,TVJ0_Matchup11,Aud_expertise,Aud_expertise_index,Mid,RT,Prior0_slider0,Prior0_slider1,Prior0_slider2,Prior0_slider3,Prior0_slider4,Prior0_slider5,Prior0_slider6,Prior0_slider7,Prior0_slider8,Prior0_slider9,Prior0_slider10,Prior0_slider11,Interpret0_slider0,Interpret0_slider1,Interpret0_slider2,Interpret0_slider3,Interpret0_slider4,Interpret0_slider5,Interpret0_slider6,Interpret0_slider7,Interpret0_slider8,Interpret0_slider9,Interpret0_slider10,Interpret0_slider11,language,age,gender,education,comments,Browser,OS,screenH,screenW,year_started,league_level,hours_total,games_weekly,champfam_total,max_extreme,criteria,time_in_minutes,participant_id,Concern_lo,Concern_hi,Concern,Matchup0_good,Matchup1_good,Matchup2_good,Matchup3_good,Matchup4_good,Matchup5_good,Matchup6_good,Matchup7_good,Matchup8_good,Matchup9_good,Matchup10_good,Matchup11_good,nGood
32,17,24,1,1,112,147,0,0,84,31,0,0,52,133,1,1,51,116,1,1,97,21,0,1,53,69,1,1,67,140,0,1,89,138,0,1,6,1,0,1,2,144,1,0,30,61,1,0,1,1,2,1,1,2,1,2,2,2,2,1,new,0,1,143.962,0.8,0.8,0.7,0.9,0.9,0.5,0.7,0.4,0.5,0.5,0.5,0.75,0.85,0.85,0.8,0.9,0.95,0.75,0.8,0.65,0.7,0.7,0.65,0.75,English,20,Female,2,NA,Chrome,Windows,1080,1920,2016,Silver,10-100,5-Mar,12-Jul,0.93,0.65,10.13178333,37,0,0,0,-1,0,0,-1,1,1,1,-1,1,1,0,0,5
33,2,144,1,0,52,133,0,1,61,30,1,0,97,21,1,1,51,116,1,1,1,6,0,1,17,24,0,1,84,31,0,0,140,67,0,1,89,138,1,1,147,112,0,0,69,53,1,1,1,1,1,1,1,1,1,1,1,1,1,1,experienced,1,1,55.466,0.64,0.81,0.76,0.59,0.86,0.77,0.59,0.69,0.64,0.7,0.77,0.65,0.68,0.75,0.72,0.75,0.78,0.7,0.72,0.74,0.72,0.71,0.73,0.76,English,18,Male,2,NA,Safari,iPhone/iPod,667,375,2013,Platinum,"1,000-10,000",5-Mar,19-24,0.59,0.66,4.176583333,38,0,0,0,0,1,0,-1,1,-1,1,0,1,-1,0,-1,4
34,105,128,1,1,59,54,1,1,103,68,0,0,101,39,1,0,40,20,1,0,77,94,1,1,122,56,0,1,34,33,0,1,96,29,0,0,44,16,0,1,32,38,0,1,74,70,1,1,1,0,1,0,0,1,0,1,0,0,1,0,new,0,0,92.634,0.72,0.34,0.63,0.55,0.6,0.86,0.25,0.64,0.44,0.57,0.56,0.41,0.79,0.66,0.74,0.6,0.72,0.84,0.7,0.74,0.65,0.66,0.71,0.59,English,23,Male,2,More expansion towards other lanes and/or types of players.,Chrome,Windows,1080,1920,2016,Platinum,"100-1,000",2-Jan,13-18,0.73,0.61,6.072466667,39,0,0,0,1,-1,0,0,0,1,-1,1,0,1,1,1,6
35,101,39,0,0,94,77,0,1,33,34,1,1,20,40,1,0,54,59,0,1,103,68,0,0,70,74,0,1,105,128,1,1,16,44,1,1,96,29,1,0,122,56,1,1,38,32,0,1,2,1,0,0,0,2,0,0,1,0,0,2,experienced,1,0,106.559,0.5,0.87,0.75,0.78,0.2,0.52,0.22,0.73,0.55,0.49,0.49,0.67,0.68,0.82,0.76,0.56,0.27,0.55,0.53,0.7,0.69,0.57,0.7,0.62,Cantonese,20,Male,2,NA,Safari,iPhone/iPod,812,375,2013,Gold,"100-1,000",0,0-6,0.7,0.7,9.199133333,40,0,0,0,0,1,1,0,-1,0,1,1,1,0,1,-1,6
36,56,122,0,1,96,29,0,0,77,94,0,1,74,70,1,1,20,40,1,0,33,34,1,1,16,44,0,1,32,38,1,1,105,128,0,1,54,59,1,1,39,101,1,0,103,68,0,0,1,0,0,1,1,0,1,1,0,1,1,1,new,0,0,147.666,0.7,0.47,0.2,0.33,0.5,0.8,0.6,0.9,0.15,0.65,0.5,0.7,0.81,0.6,0.6,0.65,0.66,0.8,0.81,0.9,0.55,0.6,0.63,0.66,English,19,Male,1,NA,Firefox,Windows,1440,2560,2011,Diamond,"1,000-10,000",20-Nov,13-18,0.9,0.65,5.7805,41,0,0,0,1,0,-1,1,0,1,-1,-1,-1,1,0,0,4
37,94,77,0,1,44,16,0,1,39,101,1,0,29,96,0,0,68,103,1,0,33,34,1,1,32,38,0,1,122,56,1,1,105,128,0,1,20,40,0,0,74,70,1,1,59,54,1,1,1,0,2,2,1,2,2,1,0,1,2,1,experienced,1,0,69.479,0.75,0.67,0.46,0.48,0.5,0.44,0.57,0.63,0.33,0.62,0.5,0.44,0.64,0.65,0.5,0.5,0.65,0.4,0.5,0.64,0.39,0.63,0.5,0.42,portuguese,25,Male,2,I don't play top,Firefox,Linux,720,360,2013,Gold,"100-1,000",10-Jun,12-Jul,0.55,0.25,7.26365,43,0,0,0,1,1,0,0,0,1,1,1,-1,0,1,-1,6
38,40,20,1,0,56,122,1,1,44,16,0,1,39,101,1,0,94,77,0,1,32,38,0,1,128,105,0,1,96,29,0,0,59,54,1,1,33,34,1,1,68,103,0,0,74,70,1,1,0,0,1,1,1,0,0,1,1,1,0,0,new,0,0,153.752,0.45,0.41,0.54,0.58,0.55,0.47,0.45,0.52,0.54,0.54,0.47,0.49,0.51,0.53,0.53,0.54,0.54,0.52,0.51,0.52,0.53,0.54,0.51,0.52,Swiss German,24,Male,2,"I did not like the phrasing of which champion will have more gold after laning phase. Gold is not the only important thing, especially in top lane. ""Who would win this lane?"", would be a much better question, when you think of builds like Gangplank with old Kleptomancy. The definiton of winning a lane could be: be able to destory the tower first, be able to roam without losing much, be able to play with your jungle to get objectifs on the map without losing much.",Chrome,Linux,873,393,2013,Platinum,"100-1,000",20-Nov,19-24,0.42,0.51,20.78345,46,0,0,0,0,-1,1,0,1,1,1,0,-1,1,0,1,6
39,68,103,0,0,59,54,0,1,96,29,1,0,20,40,0,0,101,39,1,0,77,94,0,1,128,105,1,1,33,34,0,1,16,44,1,1,38,32,0,1,122,56,1,1,70,74,1,1,0,1,1,0,0,0,1,0,0,0,0,1,new,0,0,156.483,0.21,0.9,0.6,0.42,0.65,0.75,0.44,0.67,0.3,0.18,0.55,0.67,0.64,0.89,0.82,0.74,0.71,0.61,0.69,0.64,0.77,0.6,0.71,0.78,French,26,Male,2,These graduations depends on the meta.,Safari,iPhone/iPod,896,414,2014,Gold,0-10,10-Jun,19-24,0.9,0.6,12.22561667,47,0,0,0,0,1,0,0,0,-1,-1,-1,1,-1,1,-1,3
40,30,61,1,0,67,140,1,1,116,51,1,1,69,53,0,1,31,84,1,0,147,112,0,0,133,52,1,1,97,21,0,1,6,1,0,1,2,144,0,0,89,138,1,1,24,17,0,1,1,1,0,0,0,0,1,1,1,0,1,0,new,0,1,90.14,0.58,0.77,0.23,0.45,0.38,0.32,0.67,0.59,0.65,0.42,0.52,0.41,0.59,0.8,0.52,0.55,0.53,0.51,0.76,0.59,0.65,0.55,0.59,0.53,NA,NA,NA,-1,NA,Chrome,Linux,869,412,2016,Diamond,"1,000-10,000",5-Mar,19-24,0.95,0.57,6.939566667,49,0,0,0,0,1,-1,1,0,0,1,1,1,0,-1,-1,5
41,67,140,1,1,112,147,0,0,53,69,0,1,1,6,1,1,116,51,1,1,138,89,0,1,61,30,1,0,31,84,0,0,2,144,1,0,52,133,0,1,97,21,1,1,24,17,0,1,1,0,0,1,0,1,0,0,1,0,0,0,experienced,1,1,170.412,0.57,0.59,0.27,0.54,0.32,0.58,0.32,0.18,0.6,0.2,0.22,0.35,0.67,0.56,0.53,0.71,0.56,0.75,0.54,0.52,0.54,0.52,0.55,0.57,English,24,Male,2,Any ranged vs melee assassin matchup is highly dependent upon roam frequency/success rate for overall gold income.,Safari,iPhone/iPod,896,414,2012,Gold,"10,000+",5-Mar,19-24,0.88,0.69,12.85945,51,0,0,0,1,0,-1,1,-1,-1,0,0,0,1,-1,-1,3
