Comp,CompType,EarlyResponse,LateResponse,SpeakerEarly,SpeakerLate,TransformEarly,TransformLate,ParticipantID,EarlyTVJ,LateTVJ,EarlyPrior,LatePrior,GenPrior,EarlyShift,LateShift,CompBorderline,Participant,UnextremeEarly,UnextremeLate,ProbitEarly,ProbitLate,FromSpeakerEarly,FromSpeakerLate
6,3,0.99,0.02,1,0,0.49,0.48,7,1,0,0.93,0.74,0.92,0.06,-0.36,3,4,0.99,0.02,2.326347874,-2.053748911,0.01,0.02
11,6,0.97,0.03,1,0,0.47,0.47,7,1,0,0.95,0.03,0.93,0.02,-0.35,3,4,0.97,0.03,1.880793608,-1.880793608,0.03,0.03
12,6,0.94,0.96,0,1,0.44,0.46,7,1,0,0.98,0.15,0.98,-0.04,0.58,3,4,0.94,0.96,1.554773595,1.750686071,0.94,0.04
1,1,0.05,0.96,0,1,0.45,0.46,7,1,0,0.94,0.25,0.99,-0.89,0.58,1,4,0.05,0.96,-1.644853627,1.750686071,0.05,0.04
4,2,0.03,0.03,0,0,0.47,0.47,7,1,0,0.98,0.26,0.94,-0.95,-0.35,2,4,0.03,0.03,-1.880793608,-1.880793608,0.03,0.03
7,4,0.97,0.98,1,1,0.47,0.48,7,1,0,0.96,0.18,0.95,0.01,0.6,1,4,0.97,0.98,1.880793608,2.053748911,0.03,0.02
5,3,0.03,0.93,0,1,0.47,0.43,7,1,0,0.96,0.28,0.97,-0.93,0.55,3,4,0.03,0.93,-1.880793608,1.475791028,0.03,0.07
8,4,0.03,0.03,0,0,0.47,0.47,7,1,0,0.96,0.01,0.94,-0.93,-0.35,1,4,0.03,0.03,-1.880793608,-1.880793608,0.03,0.03
3,2,0.95,0.97,1,1,0.45,0.47,7,1,0,0.98,0.05,0.93,-0.03,0.59,2,4,0.95,0.97,1.644853627,1.880793608,0.05,0.03
9,5,0.07,0.02,0,0,0.43,0.48,7,1,0,0.92,0.14,0.94,-0.85,-0.36,2,4,0.07,0.02,-1.475791028,-2.053748911,0.07,0.02
2,1,0.95,0.02,1,0,0.45,0.48,7,1,0,0.93,0.07,0.92,0.02,-0.36,1,4,0.95,0.02,1.644853627,-2.053748911,0.05,0.02
10,5,0.9,0.93,1,1,0.4,0.43,7,1,0,0.97,0.57,0.97,-0.07,0.55,2,4,0.9,0.93,1.281551566,1.475791028,0.1,0.07
9,5,0.09,0.11,0,0,0.41,0.39,9,1,1,0.67,0.27,0.52,-0.58,-0.27,2,5,0.09,0.11,-1.340755034,-1.22652812,0.09,0.11
11,6,0.16,0.16,0,0,0.34,0.34,9,1,0,0.55,0.12,0.53,-0.39,-0.22,3,5,0.16,0.16,-0.994457883,-0.994457883,0.16,0.16
1,1,0.8,0.14,1,0,0.3,0.36,9,1,1,0.57,0.53,0.39,0.23,-0.24,1,5,0.8,0.14,0.841621234,-1.080319341,0.2,0.14
12,6,0.62,0.67,1,1,0.12,0.17,9,1,1,0.49,0.5,0.34,0.13,0.29,3,5,0.62,0.67,0.305480788,0.439913166,0.38,0.33
