Comp,CompType,EarlyResponse,LateResponse,SpeakerEarly,SpeakerLate,TransformEarly,TransformLate,ParticipantID,EarlyTVJ,LateTVJ,EarlyPrior,LatePrior,GenPrior,EarlyShift,LateShift,CompBorderline,Participant,UnextremeEarly,UnextremeLate,ProbitEarly,ProbitLate,FromSpeakerEarly,FromSpeakerLate
4,2,0.18,0.17,0,0,0.32,0.33,26,0,1,0.19,0.7,0.72,-0.01,-0.21,2,14,0.18,0.17,-0.915365088,-0.954165253,0.18,0.17
10,5,0.8,0.13,1,0,0.3,0.37,26,0,1,0.17,0.62,0.68,0.63,-0.25,2,14,0.8,0.13,0.841621234,-1.126391129,0.2,0.13
11,6,0.8,0.8,1,1,0.3,0.3,26,0,1,0.2,0.7,0.73,0.6,0.42,3,14,0.8,0.8,0.841621234,0.841621234,0.2,0.2
12,6,0.13,0.14,0,0,0.37,0.36,26,0,0,0.41,0.37,0.63,-0.28,-0.24,3,14,0.13,0.14,-1.126391129,-1.080319341,0.13,0.14
5,3,0.69,0.81,1,1,0.19,0.31,26,0,1,0.1,0.76,0.52,0.59,0.43,3,14,0.69,0.81,0.495850347,0.877896295,0.31,0.19
6,3,0.15,0.86,0,0,0.35,0.36,26,0,0,0.26,0.24,0.56,-0.11,0.48,3,14,0.15,0.86,-1.036433389,1.080319341,0.15,0.86
3,2,0.25,0.75,0,1,0.25,0.25,27,1,1,0.9,0.9,0.9,-0.65,0.37,2,15,0.25,0.75,-0.67448975,0.67448975,0.25,0.25
12,6,0.25,0.25,0,0,0.25,0.25,27,1,1,0.75,0.75,0.75,-0.5,-0.13,3,15,0.25,0.25,-0.67448975,-0.67448975,0.25,0.25
5,3,0.75,0.25,1,0,0.25,0.25,27,1,1,0.75,0.75,0.75,0,-0.13,3,15,0.75,0.25,0.67448975,-0.67448975,0.25,0.25
11,6,0.75,0.75,1,1,0.25,0.25,27,1,1,0.75,0.75,0.75,0,0.37,3,15,0.75,0.75,0.67448975,0.67448975,0.25,0.25
8,4,0.75,0.25,1,0,0.25,0.25,27,1,1,0.75,0.75,0.75,0,-0.13,1,15,0.75,0.25,0.67448975,-0.67448975,0.25,0.25
10,5,0.85,0.15,1,1,0.35,0.35,27,1,1,0.75,0.75,0.75,0.1,-0.23,2,15,0.85,0.15,1.036433389,-1.036433389,0.15,0.85
9,5,0.25,0.25,0,0,0.25,0.25,27,1,1,0.75,0.75,0.75,-0.5,-0.13,2,15,0.25,0.25,-0.67448975,-0.67448975,0.25,0.25
4,2,0.9,0.15,1,0,0.4,0.35,27,1,1,0.75,0.75,0.75,0.15,-0.23,2,15,0.9,0.15,1.281551566,-1.036433389,0.1,0.15
1,1,0.15,0.15,0,0,0.35,0.35,27,1,1,0.85,0.85,0.85,-0.7,-0.23,1,15,0.15,0.15,-1.036433389,-1.036433389,0.15,0.15
7,4,0.75,0.75,0,1,0.25,0.25,27,1,1,0.75,0.75,0.75,0,0.37,1,15,0.75,0.75,0.67448975,0.67448975,0.75,0.25
6,3,0.2,0.8,0,1,0.3,0.3,27,1,1,0.8,0.8,0.8,-0.6,0.42,3,15,0.2,0.8,-0.841621234,0.841621234,0.2,0.2
2,1,0.85,0.75,1,1,0.35,0.25,27,1,1,0.75,0.75,0.75,0.1,0.37,1,15,0.85,0.75,1.036433389,0.67448975,0.15,0.25
7,4,0.93,0.92,1,1,0.43,0.42,28,1,0,0.76,0.07,0.99,0.17,0.54,1,16,0.93,0.92,1.475791028,1.40507156,0.07,0.08
5,3,0.1,0.45,0,0,0.4,0.05,28,1,1,0.95,0.95,0.76,-0.85,0.07,3,16,0.1,0.45,-1.281551566,-0.125661347,0.1,0.45
9,5,0.78,0.33,1,0,0.28,0.17,28,1,1,0.76,0.75,0.75,0.02,-0.05,2,16,0.78,0.33,0.772193214,-0.439913166,0.22,0.33
2,1,0.76,0.8,1,1,0.26,0.3,28,1,1,0.72,0.76,0.74,0.04,0.42,1,16,0.76,0.8,0.706302563,0.841621234,0.24,0.2
6,3,0.71,0.73,1,1,0.21,0.23,28,1,1,0.66,0.72,0.58,0.05,0.35,3,16,0.71,0.73,0.55338472,0.612812991,0.29,0.27
11,6,0.75,0.31,1,0,0.25,0.19,28,1,1,0.66,0.68,0.63,0.09,-0.07,3,16,0.75,0.31,0.67448975,-0.495850347,0.25,0.31
12,6,0.41,0.69,0,1,0.09,0.19,28,1,1,0.66,0.7,0.65,-0.25,0.31,3,16,0.41,0.69,-0.227544977,0.495850347,0.41,0.31
1,1,0.2,0.28,0,0,0.3,0.22,28,1,1,0.65,0.68,0.68,-0.45,-0.1,1,16,0.2,0.28,-0.841621234,-0.582841507,0.2,0.28
10,5,0.25,0.29,0,1,0.25,0.21,28,1,1,0.58,0.6,0.58,-0.33,-0.09,2,16,0.25,0.29,-0.67448975,-0.55338472,0.25,0.71
8,4,0.26,0.22,0,0,0.24,0.28,28,1,1,0.64,0.62,0.62,-0.38,-0.16,1,16,0.26,0.22,-0.643345405,-0.772193214,0.26,0.22
4,2,0.62,0.3,1,0,0.12,0.2,28,1,1,0.55,0.55,0.55,0.07,-0.08,2,16,0.62,0.3,0.305480788,-0.524400513,0.38,0.3
3,2,0.23,0.58,0,1,0.27,0.08,28,1,1,0.57,0.58,0.58,-0.34,0.2,2,16,0.23,0.58,-0.738846849,0.201893479,0.23,0.42
1,1,0.7,0.59,1,0,0.2,0.09,29,1,1,0.71,0.73,0.56,-0.01,0.21,1,17,0.7,0.59,0.524400513,0.227544977,0.3,0.59
9,5,0.79,0.76,0,1,0.29,0.26,29,1,1,0.83,0.84,0.82,-0.04,0.38,2,17,0.79,0.76,0.806421247,0.706302563,0.79,0.24
12,6,0.66,0.4,0,0,0.16,0.1,29,1,0,0.81,0.55,0.58,-0.15,0.02,3,17,0.66,0.4,0.412463129,-0.253347103,0.66,0.4
3,2,0.56,0.64,0,0,0.06,0.14,29,0,0,0.8,0.65,0.61,-0.24,0.26,2,17,0.56,0.64,0.150969215,0.358458793,0.56,0.64
4,2,0.62,0.58,1,1,0.12,0.08,29,1,1,0.8,0.54,0.65,-0.18,0.2,2,17,0.62,0.58,0.305480788,0.201893479,0.38,0.42
2,1,0.39,0.48,0,1,0.11,0.02,29,0,0,0.43,0.39,0.41,-0.04,0.1,1,17,0.39,0.48,-0.279319034,-0.050153583,0.39,0.52
8,4,0.64,0.33,1,0,0.14,0.17,29,0,0,0.31,0.24,0.48,0.33,-0.05,1,17,0.64,0.33,0.358458793,-0.439913166,0.36,0.33
7,4,0.57,0.28,0,1,0.07,0.22,29,0,1,0.18,0.62,0.67,0.39,-0.1,1,17,0.57,0.28,0.176374165,-0.582841507,0.57,0.72
10,5,0.72,0.72,1,0,0.22,0.22,29,0,1,0.71,0.64,0.54,0.01,0.34,2,17,0.72,0.72,0.582841507,0.582841507,0.28,0.72
11,6,0.68,0.69,1,1,0.18,0.19,29,1,1,0.78,0.85,0.94,-0.1,0.31,3,17,0.68,0.69,0.467698799,0.495850347,0.32,0.31
6,3,0.59,0.65,0,0,0.09,0.15,29,0,0,0.61,0.51,0.58,-0.02,0.27,3,17,0.59,0.65,0.227544977,0.385320466,0.59,0.65
5,3,0.73,0.77,1,1,0.23,0.27,29,1,1,0.76,0.79,0.74,-0.03,0.39,3,17,0.73,0.77,0.612812991,0.738846849,0.27,0.23
1,1,0.1,0.1,0,0,0.4,0.4,30,1,0,0.6,0.4,1,-0.5,-0.28,1,18,0.1,0.1,-1.281551566,-1.281551566,0.1,0.1
6,3,0.2,0.2,0,0,0.3,0.3,30,0,1,0.5,0.5,1,-0.3,-0.18,3,18,0.2,0.2,-0.841621234,-0.841621234,0.2,0.2
10,5,0.05,0.8,0,1,0.45,0.3,30,0,1,0.3,0.7,1,-0.25,0.42,2,18,0.05,0.8,-1.644853627,0.841621234,0.05,0.2
7,4,0.2,0.8,0,1,0.3,0.3,30,1,0,0.8,0.2,1,-0.6,0.42,1,18,0.2,0.8,-0.841621234,0.841621234,0.2,0.2
8,4,1,0.1,1,0,0.5,0.4,30,1,1,0.5,0.5,1,0.5,-0.28,1,18,0.999,0.1,3.090232306,-1.281551566,0,0.1
9,5,0.7,0.1,1,0,0.2,0.4,30,1,0,0.7,0.3,1,0,-0.28,2,18,0.7,0.1,0.524400513,-1.281551566,0.3,0.1
3,2,0.7,0.2,1,0,0.2,0.3,30,0,1,0.2,0.8,1,0.5,-0.18,2,18,0.7,0.2,0.524400513,-0.841621234,0.3,0.2
5,3,0.9,1,1,1,0.4,0.5,30,0,1,0.1,0.9,1,0.8,0.62,3,18,0.9,0.999,1.281551566,3.090232306,0.1,0
2,1,0.8,1,1,1,0.3,0.5,30,1,0,0.8,0.2,1,0,0.62,1,18,0.8,0.999,0.841621234,3.090232306,0.2,0
11,6,1,1,1,1,0.5,0.5,30,1,1,1,1,1,0,0.62,3,18,0.999,0.999,3.090232306,3.090232306,0,0
12,6,0.1,0.2,0,0,0.4,0.3,30,0,1,0.1,1,1,0,-0.18,3,18,0.1,0.2,-1.281551566,-0.841621234,0.1,0.2
4,2,0.1,1,0,1,0.4,0.5,30,1,1,1,1,1,-0.9,0.62,2,18,0.1,0.999,-1.281551566,3.090232306,0.1,0
3,2,0.66,0.3,0,0,0.16,0.2,34,0,0,0.37,0.81,0.74,0.29,-0.08,2,19,0.66,0.3,0.412463129,-0.524400513,0.66,0.3
5,3,0.69,0.36,1,0,0.19,0.14,34,1,0,0.53,0.41,0.5,0.16,-0.02,3,19,0.69,0.36,0.495850347,-0.358458793,0.31,0.36
2,1,0.25,0.62,0,1,0.25,0.12,34,1,1,0.41,0.55,0.45,-0.16,0.24,1,19,0.25,0.62,-0.67448975,0.305480788,0.25,0.38
9,5,0.47,0.43,1,0,0.03,0.07,34,0,1,0.37,0.51,0.31,0.1,0.05,2,19,0.47,0.43,-0.075269862,-0.176374165,0.53,0.43
11,6,0.43,0.45,1,1,0.07,0.05,34,1,1,0.34,0.49,0.35,0.09,0.07,3,19,0.43,0.45,-0.176374165,-0.125661347,0.57,0.55
1,1,0.6,0.64,1,0,0.1,0.14,34,1,1,0.47,0.65,0.55,0.13,0.26,1,19,0.6,0.64,0.253347103,0.358458793,0.4,0.64
7,4,0.42,0.64,1,1,0.08,0.14,34,0,1,0.33,0.57,0.33,0.09,0.26,1,19,0.42,0.64,-0.201893479,0.358458793,0.58,0.36
4,2,0.41,0.56,1,1,0.09,0.06,34,0,1,0.33,0.5,0.58,0.08,0.18,2,19,0.41,0.56,-0.227544977,0.150969215,0.59,0.44
6,3,0.25,0.35,0,1,0.25,0.15,34,0,0,0.33,0.35,0.35,-0.08,-0.03,3,19,0.25,0.35,-0.67448975,-0.385320466,0.25,0.65
10,5,0.41,0.64,0,1,0.09,0.14,34,1,1,0.5,0.61,0.52,-0.09,0.26,2,19,0.41,0.64,-0.227544977,0.358458793,0.41,0.36
8,4,0.19,0.25,0,0,0.31,0.25,34,0,0,0.31,0.3,0.29,-0.12,-0.13,1,19,0.19,0.25,-0.877896295,-0.67448975,0.19,0.25
12,6,0.27,0.29,0,0,0.23,0.21,34,1,1,0.39,0.43,0.42,-0.12,-0.09,3,19,0.27,0.29,-0.612812991,-0.55338472,0.27,0.29
3,2,1,0.2,1,0,0.5,0.3,37,0,0,0.19,0.19,0.19,0.81,-0.18,2,20,0.999,0.2,3.090232306,-0.841621234,0,0.2
5,3,0.05,0.18,0,0,0.45,0.32,37,0,0,0.25,0.25,0.25,-0.2,-0.2,3,20,0.05,0.18,-1.644853627,-0.915365088,0.05,0.18
11,6,0.9,0.88,1,1,0.4,0.38,37,1,1,0.5,0.51,0.51,0.4,0.5,3,20,0.9,0.88,1.281551566,1.174986792,0.1,0.12
4,2,0.18,0.72,0,1,0.32,0.22,37,0,0,0.22,0.23,0.23,-0.04,0.34,2,20,0.18,0.72,-0.915365088,0.582841507,0.18,0.28
2,1,0.81,0.24,1,0,0.31,0.26,37,1,1,0.23,0.23,0.26,0.58,-0.14,1,20,0.81,0.24,0.877896295,-0.706302563,0.19,0.24
1,1,0.07,0.71,0,1,0.43,0.21,37,0,0,0.26,0.3,0.27,-0.19,0.33,1,20,0.07,0.71,-1.475791028,0.55338472,0.07,0.29
6,3,0.74,0.83,1,1,0.24,0.33,37,0,0,0.26,0.29,0.27,0.48,0.45,3,20,0.74,0.83,0.643345405,0.954165253,0.26,0.17
7,4,0.83,0.79,1,1,0.33,0.29,37,1,1,0.52,0.51,0.53,0.31,0.41,1,20,0.83,0.79,0.954165253,0.806421247,0.17,0.21
9,5,0.67,0.14,1,0,0.17,0.36,37,1,1,0.51,0.5,0.51,0.16,-0.24,2,20,0.67,0.14,0.439913166,-1.080319341,0.33,0.14
10,5,0.17,0.89,0,1,0.33,0.39,37,0,0,0.38,0.36,0.39,-0.21,0.51,2,20,0.17,0.89,-0.954165253,1.22652812,0.17,0.11
12,6,0.16,0.81,0,0,0.34,0.31,37,0,0,0.31,0.32,0.32,-0.15,0.43,3,20,0.16,0.81,-0.994457883,0.877896295,0.16,0.81
8,4,0.17,0.87,0,0,0.33,0.37,37,0,0,0.22,0.21,0.23,-0.05,0.49,1,20,0.17,0.87,-0.954165253,1.126391129,0.17,0.87
2,1,0.54,0.51,0,0,0.04,0.01,38,1,0,0.69,0.1,0.92,-0.15,0.13,1,21,0.54,0.51,0.100433721,0.025068908,0.54,0.51
3,2,0.27,0.1,1,1,0.23,0.4,38,0,0,0.04,0.07,0.09,0.23,-0.28,2,21,0.27,0.1,-0.612812991,-1.281551566,0.73,0.9
8,4,0.29,0.27,1,1,0.21,0.23,38,0,0,0.2,0.23,0.33,0.09,-0.11,1,21,0.29,0.27,-0.55338472,-0.612812991,0.71,0.73
1,1,0.67,0.72,1,1,0.17,0.22,38,1,1,0.58,0.64,0.75,0.09,0.34,1,21,0.67,0.72,0.439913166,0.582841507,0.33,0.28
11,6,0.18,0.2,0,1,0.32,0.3,38,0,0,0.14,0.05,0.19,0.04,-0.18,3,21,0.18,0.2,-0.915365088,-0.841621234,0.18,0.8
10,5,0.46,0.3,1,0,0.04,0.2,38,1,0,0.57,0.12,0.33,-0.11,-0.08,2,21,0.46,0.3,-0.100433721,-0.524400513,0.54,0.3
6,3,0.12,0.15,1,0,0.38,0.35,38,0,0,0.1,0.12,0.12,0.02,-0.23,3,21,0.12,0.15,-1.174986792,-1.036433389,0.88,0.15
4,2,0.41,0.24,0,0,0.09,0.26,38,1,0,0.46,0.25,0.54,-0.05,-0.14,2,21,0.41,0.24,-0.227544977,-0.706302563,0.41,0.24
12,6,0.48,0.51,1,0,0.02,0.01,38,1,0,0.54,0.41,0.61,-0.06,0.13,3,21,0.48,0.51,-0.050153583,0.025068908,0.52,0.51
9,5,0.08,0.09,0,1,0.42,0.41,38,0,0,0.06,0.07,0.07,0.02,-0.29,2,21,0.08,0.09,-1.40507156,-1.340755034,0.08,0.91
7,4,0.11,0.1,0,0,0.39,0.4,38,0,0,0.11,0.14,0.14,0,-0.28,1,21,0.11,0.1,-1.22652812,-1.281551566,0.11,0.1
5,3,0.52,0.54,0,1,0.02,0.04,38,1,0,0.71,0.43,0.61,-0.19,0.16,3,21,0.52,0.54,0.050153583,0.100433721,0.52,0.46
9,5,0.55,0.48,1,0,0.05,0.02,39,1,0,0.71,0.31,0.94,-0.16,0.1,2,22,0.55,0.48,0.125661347,-0.050153583,0.45,0.48
10,5,0.63,0.78,0,1,0.13,0.28,39,1,0,0.56,0.34,0.82,0.07,0.4,2,22,0.63,0.78,0.331853346,0.772193214,0.63,0.22
7,4,0.39,0.17,1,0,0.11,0.33,39,0,1,0.28,0.29,0.39,0.11,-0.21,1,22,0.39,0.17,-0.279319034,-0.954165253,0.61,0.17
1,1,0.6,0.6,0,0,0.1,0.1,39,1,0,0.76,0.46,0.93,-0.16,0.22,1,22,0.6,0.6,0.253347103,0.253347103,0.6,0.6
4,2,0.16,0.07,0,1,0.34,0.43,39,0,1,0.34,0.5,0.17,-0.18,-0.31,2,22,0.16,0.07,-0.994457883,-1.475791028,0.16,0.93
2,1,0.81,0.87,1,1,0.31,0.37,39,0,1,0.34,0.57,0.76,0.47,0.49,1,22,0.81,0.87,0.877896295,1.126391129,0.19,0.13
5,3,0.07,0.04,0,0,0.43,0.46,39,0,0,0.03,0.08,0.05,0.04,-0.34,3,22,0.07,0.04,-1.475791028,-1.750686071,0.07,0.04
8,4,0.44,0.45,0,1,0.06,0.05,39,1,0,0.22,0.31,0.2,0.22,0.07,1,22,0.44,0.45,-0.150969215,-0.125661347,0.44,0.55
11,6,0.79,0.74,0,0,0.29,0.24,39,1,1,0.66,0.85,0.9,0.13,0.36,3,22,0.79,0.74,0.806421247,0.643345405,0.79,0.74
6,3,0.17,0.49,1,1,0.33,0.01,39,0,1,0.17,0.59,0.46,0,0.11,3,22,0.17,0.49,-0.954165253,-0.025068908,0.83,0.51
12,6,0.83,0.9,1,1,0.33,0.4,39,1,1,0.88,0.88,0.88,-0.05,0.52,3,22,0.83,0.9,0.954165253,1.281551566,0.17,0.1
3,2,0.54,0.63,1,0,0.04,0.13,39,1,1,0.76,0.82,0.76,-0.22,0.25,2,22,0.54,0.63,0.100433721,0.331853346,0.46,0.63
8,4,0.71,0.48,1,0,0.21,0.02,41,1,1,0.73,0.76,0.84,-0.02,0.1,1,23,0.71,0.48,0.55338472,-0.050153583,0.29,0.48
1,1,0.55,0.52,1,1,0.05,0.02,41,1,0,0.6,0.48,0.56,-0.05,0.14,1,23,0.55,0.52,0.125661347,0.050153583,0.45,0.48
11,6,0.46,0.48,0,0,0.04,0.02,41,0,1,0.49,0.63,0.61,-0.03,0.1,3,23,0.46,0.48,-0.100433721,-0.050153583,0.46,0.48
12,6,0.77,0.78,1,1,0.27,0.28,41,1,0,0.73,0.64,0.7,0.04,0.4,3,23,0.77,0.78,0.738846849,0.772193214,0.23,0.22
3,2,0.79,0.76,1,0,0.29,0.26,41,1,1,0.81,0.84,0.82,-0.02,0.38,2,23,0.79,0.76,0.806421247,0.706302563,0.21,0.76
4,2,0.63,0.79,0,1,0.13,0.29,41,1,0,0.87,0.66,0.76,-0.24,0.41,2,23,0.63,0.79,0.331853346,0.806421247,0.63,0.21
5,3,0.83,0.88,1,1,0.33,0.38,41,0,1,0.64,0.83,0.72,0.19,0.5,3,23,0.83,0.88,0.954165253,1.174986792,0.17,0.12
6,3,0.37,0.43,0,0,0.13,0.07,41,0,0,0.47,0.44,0.48,-0.1,0.05,3,23,0.37,0.43,-0.331853346,-0.176374165,0.37,0.43
9,5,0.71,0.85,0,1,0.21,0.35,41,1,1,0.76,0.79,0.83,-0.05,0.47,2,23,0.71,0.85,0.55338472,1.036433389,0.71,0.15
10,5,0.66,0.48,1,0,0.16,0.02,41,0,1,0.63,0.82,0.77,0.03,0.1,2,23,0.66,0.48,0.412463129,-0.050153583,0.34,0.48
2,1,0.66,0.44,0,0,0.16,0.06,41,0,1,0.71,0.55,0.68,-0.05,0.06,1,23,0.66,0.44,0.412463129,-0.150969215,0.66,0.44
7,4,0.77,0.93,0,1,0.27,0.43,41,1,1,0.88,0.86,0.9,-0.11,0.55,1,23,0.77,0.93,0.738846849,1.475791028,0.77,0.07
9,5,0.82,0.18,0,1,0.32,0.32,42,1,0,0.56,0.47,0.72,0.26,-0.2,2,24,0.82,0.18,0.915365088,-0.915365088,0.82,0.82
4,2,0.82,0.84,1,1,0.32,0.34,42,0,1,0.3,0.69,0.54,0.52,0.46,2,24,0.82,0.84,0.915365088,0.994457883,0.18,0.16
7,4,0.8,0.8,1,1,0.3,0.3,42,1,1,0.76,0.76,0.89,0.04,0.42,1,24,0.8,0.8,0.841621234,0.841621234,0.2,0.2
8,4,0.2,0.22,0,0,0.3,0.28,42,0,1,0.32,0.73,0.42,-0.12,-0.16,1,24,0.2,0.22,-0.841621234,-0.772193214,0.2,0.22
3,2,0.21,0.16,0,0,0.29,0.34,42,1,0,0.6,0.51,0.48,-0.39,-0.22,2,24,0.21,0.16,-0.806421247,-0.994457883,0.21,0.16
12,6,0.21,0.71,0,1,0.29,0.21,42,0,1,0.24,0.64,0.48,-0.03,0.33,3,24,0.21,0.71,-0.806421247,0.55338472,0.21,0.29
1,1,0.34,0.68,0,1,0.16,0.18,42,0,0,0.58,0.59,0.38,-0.24,0.3,1,24,0.34,0.68,-0.412463129,0.467698799,0.34,0.32
5,3,0.15,0.12,0,0,0.35,0.38,42,0,0,0.29,0.28,0.29,-0.14,-0.26,3,24,0.15,0.12,-1.036433389,-1.174986792,0.15,0.12
2,1,0.61,0.4,1,0,0.11,0.1,42,0,1,0.29,0.61,0.54,0.32,0.02,1,24,0.61,0.4,0.279319034,-0.253347103,0.39,0.4
10,5,0.61,0.47,1,0,0.11,0.03,42,0,1,0.29,0.64,0.55,0.32,0.09,2,24,0.61,0.47,0.279319034,-0.075269862,0.39,0.47
6,3,0.64,0.6,1,1,0.14,0.1,42,0,0,0.4,0.4,0.46,0.24,0.22,3,24,0.64,0.6,0.358458793,0.253347103,0.36,0.4
11,6,0.69,0.28,1,0,0.19,0.22,42,0,1,0.41,0.65,0.59,0.28,-0.1,3,24,0.69,0.28,0.495850347,-0.582841507,0.31,0.28
8,4,1,1,1,1,0.5,0.5,43,1,0,0.87,0.84,0.93,0.13,0.62,1,25,0.999,0.999,3.090232306,3.090232306,0,0
4,2,1,1,1,1,0.5,0.5,43,1,0,0.98,0.46,0.75,0.02,0.62,2,25,0.999,0.999,3.090232306,3.090232306,0,0
3,2,0,0,0,0,0.5,0.5,43,0,0,0.26,0.15,0.13,-0.26,-0.38,2,25,0.001,0.001,-3.090232306,-3.090232306,0,0
6,3,0.01,1,0,1,0.49,0.5,43,0,0,0.03,0.07,0.22,-0.02,0.62,3,25,0.01,0.999,-2.326347874,3.090232306,0.01,0
7,4,0,0.01,0,0,0.5,0.49,43,1,0,0.82,0.31,0.68,-0.82,-0.37,1,25,0.001,0.01,-3.090232306,-2.326347874,0,0.01
2,1,0.01,0.98,0,1,0.49,0.48,43,1,1,0.9,0.92,0.92,-0.89,0.6,1,25,0.01,0.98,-2.326347874,2.053748911,0.01,0.02
9,5,0,1,0,1,0.5,0.5,43,0,1,0.3,0.72,0.64,-0.3,0.62,2,25,0.001,0.999,-3.090232306,3.090232306,0,0
5,3,1,0,1,0,0.5,0.5,43,1,1,0.94,0.95,0.93,0.06,-0.38,3,25,0.999,0.001,3.090232306,-3.090232306,0,0
12,6,1,0.99,1,1,0.5,0.49,43,1,1,0.94,0.92,0.88,0.06,0.61,3,25,0.999,0.99,3.090232306,2.326347874,0,0.01
10,5,0.99,0.04,1,0,0.49,0.46,43,0,1,0.18,0.71,0.57,0.81,-0.34,2,25,0.99,0.04,2.326347874,-1.750686071,0.01,0.04
11,6,0,0,0,0,0.5,0.5,43,1,1,0.78,0.81,0.96,-0.78,-0.38,3,25,0.001,0.001,-3.090232306,-3.090232306,0,0
1,1,1,0,1,0,0.5,0.5,43,1,1,0.86,0.82,0.88,0.14,-0.38,1,25,0.999,0.001,3.090232306,-3.090232306,0,0
6,3,0.16,0.16,0,0,0.34,0.34,45,1,0,0.75,0.4,0.81,-0.59,-0.22,3,26,0.16,0.16,-0.994457883,-0.994457883,0.16,0.16
4,2,0.84,0.19,1,0,0.34,0.31,45,0,0,0.51,0.51,0.52,0.33,-0.19,2,26,0.84,0.19,0.994457883,-0.877896295,0.16,0.19
2,1,0.16,0.17,0,0,0.34,0.33,45,0,0,0.5,0.5,0.52,-0.34,-0.21,1,26,0.16,0.17,-0.994457883,-0.954165253,0.16,0.17
9,5,0.8,0.8,1,1,0.3,0.3,45,0,0,0.48,0.47,0.49,0.32,0.42,2,26,0.8,0.8,0.841621234,0.841621234,0.2,0.2
7,4,0.16,0.82,0,1,0.34,0.32,45,0,0,0.47,0.48,0.46,-0.31,0.44,1,26,0.16,0.82,-0.994457883,0.915365088,0.16,0.18
10,5,0.13,0.2,0,0,0.37,0.3,45,0,0,0.49,0.51,0.49,-0.36,-0.18,2,26,0.13,0.2,-1.126391129,-0.841621234,0.13,0.2
1,1,0.87,0.85,1,1,0.37,0.35,45,0,0,0.47,0.48,0.47,0.4,0.47,1,26,0.87,0.85,1.126391129,1.036433389,0.13,0.15
5,3,0.83,0.8,1,1,0.33,0.3,45,0,0,0.46,0.45,0.44,0.37,0.42,3,26,0.83,0.8,0.954165253,0.841621234,0.17,0.2
11,6,0.83,0.13,1,0,0.33,0.37,45,0,0,0.43,0.44,0.44,0.4,-0.25,3,26,0.83,0.13,0.954165253,-1.126391129,0.17,0.13
12,6,0.17,0.87,0,1,0.33,0.37,45,0,0,0.52,0.53,0.52,-0.35,0.49,3,26,0.17,0.87,-0.954165253,1.126391129,0.17,0.13
3,2,0.13,0.78,0,1,0.37,0.28,45,0,0,0.51,0.54,0.5,-0.38,0.4,2,26,0.13,0.78,-1.126391129,0.772193214,0.13,0.22
8,4,0.83,0.14,1,0,0.33,0.36,45,0,0,0.48,0.49,0.47,0.35,-0.24,1,26,0.83,0.14,0.954165253,-1.080319341,0.17,0.14
5,3,0.1,0.11,0,0,0.4,0.39,46,1,0,0.41,0.14,0.33,-0.31,-0.27,3,27,0.1,0.11,-1.281551566,-1.22652812,0.1,0.11
10,5,0.06,0.08,0,0,0.44,0.42,46,0,1,0.03,0.39,0.34,0.03,-0.3,2,27,0.06,0.08,-1.554773595,-1.40507156,0.06,0.08
9,5,0.1,0.55,1,1,0.4,0.05,46,1,1,0.32,0.36,0.33,-0.22,0.17,2,27,0.1,0.55,-1.281551566,0.125661347,0.9,0.45
2,1,0.08,0.1,0,0,0.42,0.4,46,1,0,0.36,0.08,0.3,-0.28,-0.28,1,27,0.08,0.1,-1.40507156,-1.281551566,0.08,0.1
6,3,0.54,0.47,1,1,0.04,0.03,46,1,1,0.34,0.57,0.36,0.2,0.09,3,27,0.54,0.47,0.100433721,-0.075269862,0.46,0.53
3,2,0.39,0.09,1,0,0.11,0.41,46,0,1,0.16,0.58,0.4,0.23,-0.29,2,27,0.39,0.09,-0.279319034,-1.340755034,0.61,0.09
1,1,0.39,0.5,1,1,0.11,0,46,0,1,0.09,0.28,0.38,0.3,0.12,1,27,0.39,0.5,-0.279319034,0,0.61,0.5
8,4,0.06,0.46,0,1,0.44,0.04,46,0,1,0.04,0.51,0.43,0.02,0.08,1,27,0.06,0.46,-1.554773595,-0.100433721,0.06,0.54
12,6,0.06,0.4,0,1,0.44,0.1,46,1,1,0.3,0.38,0.35,-0.24,0.02,3,27,0.06,0.4,-1.554773595,-0.253347103,0.06,0.6
4,2,0.11,0.34,0,1,0.39,0.16,46,0,1,0.11,0.37,0.25,0,-0.04,2,27,0.11,0.34,-1.22652812,-0.412463129,0.11,0.66
7,4,0.4,0.12,1,0,0.1,0.38,46,1,1,0.3,0.35,0.36,0.1,-0.26,1,27,0.4,0.12,-0.253347103,-1.174986792,0.6,0.12
11,6,0.42,0.08,1,0,0.08,0.42,46,1,0,0.37,0.16,0.27,0.05,-0.3,3,27,0.42,0.08,-0.201893479,-1.40507156,0.58,0.08
3,2,0.42,0.26,1,0,0.08,0.24,47,0,1,0.31,0.81,0.5,0.11,-0.12,2,28,0.42,0.26,-0.201893479,-0.643345405,0.58,0.26
8,4,0.44,0.49,1,1,0.06,0.01,47,1,1,0.44,0.46,0.43,0,0.11,1,28,0.44,0.49,-0.150969215,-0.025068908,0.56,0.51
1,1,0.7,0.4,0,0,0.2,0.1,47,1,0,0.69,0.14,0.57,0.01,0.02,1,28,0.7,0.4,0.524400513,-0.253347103,0.7,0.4
10,5,0.48,0.35,1,1,0.02,0.15,47,0,1,0.46,0.69,0.68,0.02,-0.03,2,28,0.48,0.35,-0.050153583,-0.385320466,0.52,0.65
